provider_id,source_serial,county_city,district,provider_name,service_hours_raw,emergency_available,outpatient_available,service_type,patient_note,source_version,source_last_update,source_url,source_page,extraction_date,verification_status
TW-PEP-001,1,臺北市,內湖區,三軍總醫院附設民眾診療服務處,感染科門診：週一、二、三、五早上0830~1200；週二、四、五下午1400~17:00,yes,no,急診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-002,2,臺北市,信義區,臺北醫學大學附設醫院,感染科門診：週一、二、三、五上午 08:30-12:00；週一至週五 13:30-17:00；週一 18:00-21:00 (夜間門診) ; 週二18:00-21:00(夜間門診);週六08:30-12:00(隔週開診),no,yes,門診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-003,3,臺北市,文山區,臺北市立萬芳醫院-委託財團法人臺北醫學大學辦理,感染科門診：週一至週五 (一般門診) 09:00-12:00；週一、週二、週四、 (一般門診) 13:30-17:00；週二、週四(單週) 18:00-21:00 (夜間門診),no,yes,門診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-004,4,臺北市,士林區,新光醫療社團法人新光吳火獅紀念醫院,感染科門診：週一至週五 08:30-12:00；週二至週五 14:00-17:00；週一 18:00-20:00 (夜間門診),yes,no,急診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-005,5,臺北市,大安區,國泰醫療財團法人國泰綜合醫院,感染科門診：週一、週二、週五 09:00-12:30；週三18:00-20:30；週四 09:00-12:00；週三、週五 14:00-17:00；週六 09:00-12:00,yes,no,急診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-006,6,臺北市,大安區,臺北市立聯合醫院-仁愛院區,"感染科門診：顧文瑋醫師 週一17:30-2030、週二13:30-16:30
感染科門診：張雅媛醫師 週四09:00-12:00、週五13:30-16:30",yes,no,急診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-007,7,臺北市,士林區,臺北市立聯合醫院-陽明院區,感染科門診：週三、週四 08:30-11:30；週一、週二、週五 13:30-16:30,yes,no,急診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-008,8,臺北市,萬華區,臺北市立聯合醫院-昆明院區,"1. 一般內科：週二、三、五上午門診時段；週四、五下午門診時段
2. 特約門診： 週三、四、五上午門診時段；週二、三、四下午門診時段；週二夜間門診",no,yes,門診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-009,9,臺北市,中山區,臺北馬偕紀念醫院,感染科門診：週一至週六 09:00-12:00；週一、週三、週四、週五 14:00-17:00；週一到週五 18:00-21:00 (夜間門診),no,yes,門診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-010,10,臺北市,中正區,國立臺灣大學附設醫院,感染科門診：週一至週六09:00-12:00；週一至週五14:00-17:00,yes,no,急診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
